"Parent Molecule ChEMBL ID";"Parent Molecule Name";"Parent Molecule Type";"Max Phase";"First Approval";"USAN Stem";"Smiles";"Mechanism of Action";"Mechanism Comment";"Selectivity Comment";"Target ChEMBL ID";"Target Name";"Action Type";"Target Type";"Target Organism";"Binding Site Name";"Binding Site Comment";"References";"Synonyms";"Parent Molecule ChEMBL ID"
"CHEMBL3545225";"INCB-047986";"Unknown";"2";"None";"";"None";"Tyrosine-protein kinase JAK1 inhibitor";"The compound is thought to be JAK1 selective but no selectivity data available.";"";"CHEMBL2835";"Tyrosine-protein kinase JAK1";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3545225': [{'ref_id': '24818516', 'ref_url': 'http://europepmc.org/abstract/MED/24818516', 'ref_type': 'PubMed'}]}";"Incb-047986|Incb-47986";"CHEMBL3545225"
"CHEMBL1615933";"OMIGANAN";"Protein";"3";"None";"'-ganan'";"CC[C@H](C)[C@H](N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(N)=O";"Cell membrane disrupting agent";"";"";"CHEMBL2364031";"Cell membrane";"DISRUPTING AGENT";"SUBCELLULAR";"Bacteria";"";"";"{'CHEMBL1615933': [{'ref_id': '17383609', 'ref_url': 'http://europepmc.org/abstract/MED/17383609', 'ref_type': 'PubMed'}, {'ref_id': '20053150', 'ref_url': 'http://europepmc.org/abstract/MED/20053150', 'ref_type': 'PubMed'}]}";"Omiganan (INN, MI)|Omiganan pentahydrochloride (USAN)|";"CHEMBL1615933"
"CHEMBL3112741";"RELEBACTAM ANHYDROUS";"Small molecule";"4";"2019";"'-bactam'";"O=C(NC1CCNCC1)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O";"Beta-lactamase inhibitor";"Relebactam is used in combination with the beta-lactam antibacterial imipenem and protects imipenem from degradation by certain bacterial beta-lactamases. Relebactam itself has no antibacterial activity.";"Inhibits serine beta lactamases (SHV, TEM, CTX-M type and Enterobacter cloacae P99, Pseudomonase derived cephalosporinase PDC and Klebsiella pneumoniae carbapenemase KPC). Not active against MBLs, some oxacillinases and certain GES allelles. Can restore the activity of imipenem/cilastatin combinations against KPC-producing Enterobacteriaceae and PDC-producing Pseudomonas aeruginosa.";"CHEMBL2725";"Beta-lactamase";"INHIBITOR";"SINGLE PROTEIN";"Enterobacter cloacae";"";"";"{'CHEMBL3301605': [{'ref_id': 'label/2019/212819s000lbl.pdf', 'ref_url': 'https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/212819s000lbl.pdf', 'ref_type': 'FDA'}]}";"Relebactam (INN, USAN)|Relebactam hydrate (JAN)|";"CHEMBL3112741"
"CHEMBL2109433";"OTILIMAB";"Antibody";"3";"None";"'-mab'";"None";"Granulocyte-macrophage colony-stimulating factor inhibitor";"";"";"CHEMBL3712955";"Granulocyte-macrophage colony-stimulating factor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2109433': [{'ref_id': '24534756', 'ref_url': 'http://europepmc.org/abstract/MED/24534756', 'ref_type': 'PubMed'}]}";"Otilimab (INN, USAN)|";"CHEMBL2109433"
"CHEMBL530";"AMDINOCILLIN";"Small molecule";"4";"1984";"'-cillin'";"CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O";"Bacterial penicillin-binding protein 2 inhibitor";"";"";"CHEMBL2354313";"Peptidoglycan D,D-transpeptidase MrdA";"INHIBITOR";"SINGLE PROTEIN";"Bacteria";"";"";"{'CHEMBL530': [{'ref_id': '7447421', 'ref_url': 'http://europepmc.org/abstract/MED/7447421', 'ref_type': 'PubMed'}, {'ref_id': 'Amdinocillin', 'ref_url': 'http://en.wikipedia.org/wiki/Amdinocillin', 'ref_type': 'Wikipedia'}]}";"Amdinocillin (MI, USAN, USP)|Mecillinam (BAN, INN, JAN)|";"CHEMBL530"
"CHEMBL419667";"RELCOVAPTAN";"Small molecule";"2";"None";"'-vaptan'";"COc1ccc(S(=O)(=O)N2c3ccc(Cl)cc3[C@](O)(c3ccccc3Cl)[C@@H]2C(=O)N2CCC[C@H]2C(N)=O)cc1OC";"Oxytocin receptor antagonist";"";"";"CHEMBL2049";"Oxytocin receptor";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL419667': [{'ref_id': '10519430', 'ref_url': 'http://europepmc.org/abstract/MED/10519430', 'ref_type': 'PubMed'}, {'ref_id': '21130036', 'ref_url': 'http://europepmc.org/abstract/MED/21130036', 'ref_type': 'PubMed'}]}";"Relcovaptan (INN, INN)|";"CHEMBL419667"
"CHEMBL5314400";"DWP05195";"Small molecule";"2";"None";"";"FC(F)(F)c1cccnc1-c1ccc(-c2nc3ccc(Br)cc3[nH]2)nc1";"Vanilloid receptor antagonist";"";"";"CHEMBL4794";"Transient receptor potential cation channel subfamily V member 1";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL5314400': [{'ref_id': 'http://www.daewoong.com/content/content.asp?FolderName=sub02&filename=sub02_0301', 'ref_url': 'http://www.daewoong.com/content/content.asp?FolderName=sub02&filename=sub02_0301', 'ref_type': 'Other'}, {'ref_id': '21804597', 'ref_url': 'http://europepmc.org/abstract/MED/21804597', 'ref_type': 'PubMed'}]}";"Dwp05195";"CHEMBL5314400"
"CHEMBL4298209";"BELANTAMAB MAFODOTIN";"Antibody drug conjugate";"4";"2020";"'-dotin; -mab'";"None";"Tumor necrosis factor receptor superfamily member 17 binding agent";"Binds to BCMA on normal B lymphocytes and multiple myeloma cells, is internalised and MMAF is released by proteolytic cleavage. MMAF binds microtubules leading to apoptosis.";"";"CHEMBL4523587";"Tumor necrosis factor receptor superfamily member 17";"BINDING AGENT";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL4298209': [{'ref_id': 'label/2020/761158s000lbl.pdf', 'ref_url': 'http://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761158s000lbl.pdf', 'ref_type': 'FDA'}]}";"Belantamab mafodotin (INN, USAN)|";"CHEMBL4298209"
"CHEMBL2104765";"TRIMEGESTONE";"Small molecule";"3";"None";"'-gest-'";"C[C@H](O)C(=O)[C@@]1(C)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3CC[C@@]21C";"Progesterone receptor agonist";"";"";"CHEMBL208";"Progesterone receptor";"AGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2104765': [{'ref_id': '10599548', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/10599548/', 'ref_type': 'PubMed'}]}";"Trimegestone (BAN, INN, USAN)|";"CHEMBL2104765"
"CHEMBL2109455";"AL-901";"Unknown";"2";"None";"";"None";"Ig epsilon chain C region inhibitor";"";"";"CHEMBL1834";"Immunoglobulin heavy constant epsilon";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2109455': [{'ref_id': '9433396', 'ref_url': 'http://europepmc.org/abstract/MED/9433396', 'ref_type': 'PubMed'}]}";"Al-901";"CHEMBL2109455"
"CHEMBL1510";"ELETRIPTAN";"Small molecule";"4";"2002";"'-triptan'";"CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12";"Serotonin 1d (5-HT1d) receptor agonist";"";"Selective";"CHEMBL1983";"5-hydroxytryptamine receptor 1D";"AGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL1201003': [{'ref_id': 'label/2011/021016s018lbl.pdf', 'ref_url': 'http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/021016s018lbl.pdf', 'ref_type': 'FDA'}]}";"Eletriptan (INN, MI)|Eletriptan hydrobromide (USAN)|";"CHEMBL1510"
"CHEMBL3545427";"CM-082";"Unknown";"3";"None";"";"None";"Platelet-derived growth factor receptor beta inhibitor";"";"";"CHEMBL1913";"Platelet-derived growth factor receptor beta";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3545427': [{'ref_id': 'http://www.tyrogenex.com/wordpress/wp-content/uploads/Oral-X-82-for-wet-AMD-ARVO-2013.pdf', 'ref_url': 'http://www.tyrogenex.com/wordpress/wp-content/uploads/Oral-X-82-for-wet-AMD-ARVO-2013.pdf', 'ref_type': 'Other'}]}";"Cm-082";"CHEMBL3545427"
"CHEMBL1783282";"AZD7325";"Small molecule";"2";"None";"";"CCCNC(=O)c1nnc2c(-c3c(F)cccc3OC)cccc2c1N";"GABA receptor alpha-3 subunit positive allosteric modulator";"Discontinued by AstraZeneca but in trials by other sponsors. Compound is listed in AstaZeneca's clinical and/or preclinical compound bank and available for research projects.";"Binding affinity is high at GABAAa1, a2 and a3 (Ki of 0.5, 0.3 and 1.3 nM, respectively), but not GA";"CHEMBL3026";"Gamma-aminobutyric acid receptor subunit alpha-3";"POSITIVE ALLOSTERIC MODULATOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL1783282': [{'ref_id': 'http://openinnovation.astrazeneca.com/what-we-offer/compound/azd7325/', 'ref_url': 'http://openinnovation.astrazeneca.com/what-we-offer/compound/azd7325/', 'ref_type': 'Other'}, {'ref_id': '22122233', 'ref_url': 'http://europepmc.org/abstract/MED/22122233', 'ref_type': 'PubMed'}, {'ref_id': '24802722', 'ref_url': 'http://europepmc.org/abstract/MED/24802722', 'ref_type': 'PubMed'}]}";"Azd7325";"CHEMBL1783282"
"CHEMBL4297928";"NOMACOPAN";"Unknown";"3";"None";"'-copan'";"None";"Complement C5 inhibitor";"";"";"CHEMBL2364163";"Complement C5";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL4297928': [{'ref_id': 'https://www.akaritx.com/mode-of-action/', 'ref_url': 'https://www.akaritx.com/mode-of-action/', 'ref_type': 'Other'}, {'ref_id': 'https://www.sciencedirect.com/topics/immunology-and-microbiology/nomacopan', 'ref_url': 'https://www.sciencedirect.com/topics/immunology-and-microbiology/nomacopan', 'ref_type': 'Other'}]}";"Nomacopan (INN, USAN)|";"CHEMBL4297928"
"CHEMBL184999";"AL-12182";"Small molecule";"2";"None";"";"CC(C)OC(=O)CCC/C=C\CC[C@H]1[C@@H](O)CO[C@@H]1/C=C/[C@@H](O)COc1cccc(Cl)c1";"Prostanoid FP receptor agonist";"";"";"CHEMBL1987";"Prostaglandin F2-alpha receptor";"AGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL184999': [{'ref_id': '17076623', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/17076623/', 'ref_type': 'PubMed'}]}";"Al-12182";"CHEMBL184999"
"CHEMBL2109465";"QAX-576";"Unknown";"2";"None";"";"None";"Interleukin-13 inhibitor";"";"";"CHEMBL3580486";"Interleukin-13";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2109465': [{'ref_id': '25226850', 'ref_url': 'http://europepmc.org/abstract/MED/25226850', 'ref_type': 'PubMed'}]}";"Dectrekumab (INN)|";"CHEMBL2109465"
"CHEMBL5095303";"VUTRISIRAN SODIUM";"Oligonucleotide";"4";"2022";"";"None";"Transthyretin mRNA rnai inhibitor";"";"";"CHEMBL4296221";"Transthyretin mRNA";"RNAI INHIBITOR";"NUCLEIC-ACID";"Homo sapiens";"";"";"{'CHEMBL5095303': [{'ref_id': 'https://www.ema.europa.eu/en/documents/product-information/amvuttra-epar-product-information_en.pdf', 'ref_url': 'https://www.ema.europa.eu/en/documents/product-information/amvuttra-epar-product-information_en.pdf', 'ref_type': 'EMA'}]}";"Amvuttra|Votrisiran sodium";"CHEMBL5095303"
"CHEMBL3545300";"CP-459632";"Unknown";"1";"None";"";"None";"Tyrosine-protein kinase receptor Tie-1 inhibitor";"No references found";"";"CHEMBL5274";"Tyrosine-protein kinase receptor Tie-1";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3545300': []}";"Cp-459632";"CHEMBL3545300"
"CHEMBL2109482";"BI-505";"Unknown";"2";"None";"";"None";"Intercellular adhesion molecule-1 antagonist";"";"";"CHEMBL3070";"Intercellular adhesion molecule 1";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2109482': [{'ref_id': '23597564', 'ref_url': 'http://europepmc.org/abstract/MED/23597564', 'ref_type': 'PubMed'}]}";"Bi-505";"CHEMBL2109482"
"CHEMBL1279";"FROVATRIPTAN";"Small molecule";"4";"2001";"'-triptan'";"CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1";"Serotonin 1d (5-HT1d) receptor agonist";"";"Selective";"CHEMBL1983";"5-hydroxytryptamine receptor 1D";"AGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2138684': [{'ref_id': 'label/2009/021006s006s009s010lbl.pdf', 'ref_url': 'http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/021006s006s009s010lbl.pdf', 'ref_type': 'FDA'}]}";"Frovatriptan succinate (USAN)|Frovatriptan succinate monohydrate (MI)|Frovatriptan (INN, MI)|";"CHEMBL1279"
"CHEMBL519846";"RO-0622";"Small molecule";"3";"None";"";"[N-]=[N+]=N[C@]1(CO)O[C@@H](n2ccc(N)nc2=O)[C@@H](F)[C@@H]1O";"Human immunodeficiency virus type 1 reverse transcriptase inhibitor";"";"";"CHEMBL247";"Human immunodeficiency virus type 1 reverse transcriptase";"INHIBITOR";"SINGLE PROTEIN";"Human immunodeficiency virus 1";"";"";"{'CHEMBL519846': [{'ref_id': '25144636', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/25144636/', 'ref_type': 'PubMed'}]}";"Azvudine|Ro-0622";"CHEMBL519846"
"CHEMBL2109498";"IPH-2101";"Unknown";"2";"None";"";"None";"Killer cell immunoglobulin-like receptor 2DL2 inhibitor";"Acts as a checkpoint inhibitor by blocking the interaction between KIR2DL-1,-2,-3 inhibitory receptors and their ligands.";"";"CHEMBL3833441";"Killer cell immunoglobulin-like receptor 2DL2";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2109498': [{'ref_id': '19553639', 'ref_url': 'http://europepmc.org/abstract/MED/19553639', 'ref_type': 'PubMed'}, {'ref_id': '22031859', 'ref_url': 'http://europepmc.org/abstract/MED/22031859', 'ref_type': 'PubMed'}]}";"Iph-2101";"CHEMBL2109498"
"CHEMBL1200640";"FERROUS FUMARATE";"Small molecule";"4";"1982";"";"None";"Supplement";"";"";"";"";"None";"";"";"";"";"{'CHEMBL1200640': [{'ref_id': 'https://bnf.nice.org.uk/drug/ferrous-fumarate.html', 'ref_url': 'https://bnf.nice.org.uk/drug/ferrous-fumarate.html', 'ref_type': 'BNF'}, {'ref_id': 'setid=304fdee6-0290-4717-be3d-b367bec7e411', 'ref_url': 'http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=304fdee6-0290-4717-be3d-b367bec7e411', 'ref_type': 'DailyMed'}]}";"Ferrous fumarate (MI)|";"CHEMBL1200640"
"CHEMBL1518";"PROPYLTHIOURACIL";"Small molecule";"4";"1947";"'-racil; -uracil'";"CCCc1cc(=O)[nH]c(=S)[nH]1";"Type I iodothyronine deiodinase (Type-I 5'-deiodinase) (DIOI) (Type 1 DI) (5DI) inhibitor";"";"";"CHEMBL2019";"Type I iodothyronine deiodinase";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL1518': [{'ref_id': '8641212', 'ref_url': 'http://europepmc.org/abstract/MED/8641212', 'ref_type': 'PubMed'}, {'ref_id': 'Iodothyronine_deiodinase', 'ref_url': 'http://en.wikipedia.org/wiki/Iodothyronine_deiodinase', 'ref_type': 'Wikipedia'}, {'ref_id': 'Propylthiouracil', 'ref_url': 'http://en.wikipedia.org/wiki/Propylthiouracil', 'ref_type': 'Wikipedia'}]}";"Propylthiouracil (INN, MI)|";"CHEMBL1518"
"CHEMBL3545350";"EVT-101 FREE BASE";"Small molecule";"2";"None";"";"Cc1nccn1Cc1cc(-c2ccc(F)c(C(F)F)c2)cnn1";"Glutamate NMDA receptor; GRIN1/GRIN2B antagonist";"Non-competitive antagonist, negative modulator.";"GRIN2B selective.";"CHEMBL1907603";"Glutamate NMDA receptor; GRIN1/GRIN2B";"ANTAGONIST";"PROTEIN COMPLEX";"Homo sapiens";"";"Binds to ifenprodil site on N-terminal domain.";"{'CHEMBL3545349': []}";"Evt-101|Evt101";"CHEMBL3545350"
"CHEMBL2109574";"ASG-5ME";"Unknown";"1";"None";"";"None";"Tubulin inhibitor";"";"";"CHEMBL2095182";"Tubulin";"INHIBITOR";"PROTEIN COMPLEX GROUP";"Homo sapiens";"Beta tubulin vinca binding domain";"Beta tubulin vinca binding domain";"{'CHEMBL2109574': [{'ref_id': '27518442', 'ref_url': 'http://europepmc.org/abstract/MED/27518442', 'ref_type': 'PubMed'}, {'ref_id': '28353637', 'ref_url': 'http://europepmc.org/abstract/MED/28353637', 'ref_type': 'PubMed'}]}";"Asg-5me";"CHEMBL2109574"
"CHEMBL1908397";"KW-2449";"Small molecule";"1";"None";"";"O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1";"Tyrosine-protein kinase receptor FLT3 inhibitor";"";"";"CHEMBL1974";"Receptor-type tyrosine-protein kinase FLT3";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL1908397': [{'ref_id': '19541823', 'ref_url': 'http://europepmc.org/abstract/MED/19541823', 'ref_type': 'PubMed'}, {'ref_id': '21474579', 'ref_url': 'http://europepmc.org/abstract/MED/21474579', 'ref_type': 'PubMed'}]}";"Kw-2449";"CHEMBL1908397"
"CHEMBL3544917";"RAPASTINEL";"Protein";"3";"None";"'-stinel'";"C[C@@H](O)[C@H](N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@H](C(N)=O)[C@@H](C)O";"Glutamate [NMDA] receptor partial agonist";"NMDA glycin site partial-agonist, preferentially modulates NR2B-containing NMDAR receptor complexes";"Partial agonist of the glycin-site on GRIN1-subunits, preferentially modulates NR2B-containing NMDAR";"CHEMBL2094124";"Glutamate [NMDA] receptor";"PARTIAL AGONIST";"PROTEIN COMPLEX GROUP";"Homo sapiens";"";"Partial agonist of the glycin-site on GRIN1-subunits.";"{'CHEMBL3544917': [{'ref_id': '16051282', 'ref_url': 'http://europepmc.org/abstract/MED/16051282', 'ref_type': 'PubMed'}, {'ref_id': '18796308', 'ref_url': 'http://europepmc.org/abstract/MED/18796308', 'ref_type': 'PubMed'}, {'ref_id': 'Rapastinel', 'ref_url': 'https://en.wikipedia.org/wiki/Rapastinel', 'ref_type': 'Wikipedia'}]}";"Rapastinel (INN, USAN, USAN)|";"CHEMBL3544917"
"CHEMBL4297592";"AMENAMEVIR";"Small molecule";"4";"2017";"'-vir'";"Cc1cccc(C)c1N(CC(=O)Nc1ccc(-c2ncon2)cc1)C(=O)C1CCS(=O)(=O)CC1";"Helicase primate complex inhibitor";"";"Amenamevir inhibited DNA replication of VZV, HSV-1, and HSV-2 at ≥0.03 μmol/L, but not HCMV.";"CHEMBL4523677";"Helicase primase complex";"INHIBITOR";"PROTEIN COMPLEX";"Varicella-zoster virus (strain Oka vaccine) (HHV-3) (Human herpesvirus 3)";"";"";"{'CHEMBL4297592': [{'ref_id': 'https://www.pmda.go.jp/files/000227731.pdf', 'ref_url': 'https://www.pmda.go.jp/files/000227731.pdf', 'ref_type': 'PMDA'}, {'ref_id': '20534624', 'ref_url': 'http://europepmc.org/abstract/MED/20534624', 'ref_type': 'PubMed'}]}";"Amenamevir (INN, JAN, MI)|";"CHEMBL4297592"
"CHEMBL3545074";"LEO-15520";"Unknown";"1";"None";"";"None";"MAP kinase p38 alpha inhibitor";"Thought to also inhibit MAPK11 and MAP2K6 but no further details available/found.";"";"CHEMBL260";"Mitogen-activated protein kinase 14";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3545074': [{'ref_id': 'http://www.inflammationsocieties.org/PDF/Jago_4%20_2_.pdf', 'ref_url': 'http://www.inflammationsocieties.org/PDF/Jago_4%20_2_.pdf', 'ref_type': 'Other'}]}";"Leo-15520";"CHEMBL3545074"
"CHEMBL2109528";"FASINUMAB";"Antibody";"3";"None";"'-mab'";"None";"Beta-nerve growth factor inhibitor";"";"";"CHEMBL1649058";"Beta-nerve growth factor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2109528': [{'ref_id': '24686255', 'ref_url': 'http://europepmc.org/abstract/MED/24686255', 'ref_type': 'PubMed'}]}";"Fasinumab (INN, USAN)|";"CHEMBL2109528"
"CHEMBL1236802";"XENON";"Small molecule";"4";"1982";"";"[Xe]";"MRI contrast agent";"";"";"";"";"None";"";"";"";"";"{'CHEMBL4594411': [{'ref_id': 'label/2022/214375s000lbl.pdf', 'ref_url': 'https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/214375s000lbl.pdf', 'ref_type': 'FDA'}]}";"Xenon (JAN, MI)|Xenon (133xe) (INN, JAN)|Xenon (133xe) injection (JAN)|Xenon xe 133 (MI, USAN, USP)|";"CHEMBL1236802"
"CHEMBL4594550";"SERPLULIMAB";"Antibody";"3";"None";"'-mab'";"None";"Programmed cell death protein 1 antagonist";"";"";"CHEMBL3307223";"Programmed cell death protein 1";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL4594550': [{'ref_id': 'NCT03468751', 'ref_url': 'https://www.clinicaltrials.gov/ct2/show/NCT03468751', 'ref_type': 'ClinicalTrials'}, {'ref_id': '31847708', 'ref_url': 'http://europepmc.org/abstract/MED/31847708', 'ref_type': 'PubMed'}]}";"Serplulimab (INN)|";"CHEMBL4594550"
"CHEMBL2109530";"ASK-8007";"Unknown";"2";"None";"";"None";"Osteopontin inhibitor";"";"";"CHEMBL1741309";"Osteopontin";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2109530': [{'ref_id': '21917822', 'ref_url': 'http://europepmc.org/abstract/MED/21917822', 'ref_type': 'PubMed'}]}";"Ask-8007";"CHEMBL2109530"
"CHEMBL1542";"AZATHIOPRINE";"Small molecule";"4.0";"1968";"";"Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12";"Amidophosphoribosyltransferase inhibitor";"Prodrug enzyme: hypoxanthine-guanine phosphoribosyl transferase (HGPRT; EC 2.4.2.8)";"";"CHEMBL2362992";"Amidophosphoribosyltransferase";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL1200400': [{'ref_id': '18506437', 'ref_url': 'http://europepmc.org/abstract/MED/18506437', 'ref_type': 'PubMed'}], 'CHEMBL1542': [{'ref_id': '18506437', 'ref_url': 'http://europepmc.org/abstract/MED/18506437', 'ref_type': 'PubMed'}]}";"Azathioprine sodium salt (MI)|Azathioprine (BAN, INN, JAN, MI, USAN, USP)|";"CHEMBL1542"
"CHEMBL3889654";"LAROTRECTINIB";"Small molecule";"4.0";"2018";"'-tinib'";"O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1";"Neurotrophic tyrosine kinase receptor inhibitor";"Fusions between the neurotrophic kinase receptor (NTKR) genes can result in their constitutive activation which promotes tumor growth, larotrectinib inhibits these targets. ";"Lower level affinity for TNK2. Limited activity against TRKA resistance variants with point mutation G595R or against TRKC with point mutations G623R, G696A or F617L.";"CHEMBL3559684";"Neurotrophic tyrosine kinase receptor";"INHIBITOR";"PROTEIN FAMILY";"Homo sapiens";"";"ATP-binding site";"{'CHEMBL3989939': [{'ref_id': 'label/2018/211710s000lbl.pdf', 'ref_url': 'https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/211710s000lbl.pdf', 'ref_type': 'FDA'}, {'ref_id': '28578312', 'ref_url': 'http://europepmc.org/abstract/MED/28578312', 'ref_type': 'PubMed'}], 'CHEMBL3889654': [{'ref_id': 'http://www.arraybiopharma.com/discovery-collaborations/selected-collaborations/loxo-oncology/', 'ref_url': 'http://www.arraybiopharma.com/discovery-collaborations/selected-collaborations/loxo-oncology/', 'ref_type': 'Other'}, {'ref_id': '26216294', 'ref_url': 'http://europepmc.org/abstract/MED/26216294', 'ref_type': 'PubMed'}]}";"Larotrectinib (INN, USAN)|Larotrectinib sulfate (USAN)|";"CHEMBL3889654"
"CHEMBL2109562";"CAL";"Unknown";"2";"None";"";"None";"Parathyroid hormone-related protein inhibitor";"";"";"CHEMBL3712869";"Parathyroid hormone-related protein";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2109562': [{'ref_id': 'https://www.cancer.gov/publications/dictionaries/cancer-drug?cdrid=38505', 'ref_url': 'https://www.cancer.gov/publications/dictionaries/cancer-drug?cdrid=38505', 'ref_type': 'Other'}]}";"Cal";"CHEMBL2109562"
"CHEMBL654";"MIRTAZAPINE";"Small molecule";"4";"1996";"'-pine'";"CN1CCN2c3ncccc3Cc3ccccc3C2C1";"Serotonin 2a (5-HT2a) receptor antagonist";"";"";"CHEMBL224";"5-hydroxytryptamine receptor 2A";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL654': [{'ref_id': 'setid=f23631be-c7ae-46e9-b771-a70be17bc9f0#nlm34090-1', 'ref_url': 'http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f23631be-c7ae-46e9-b771-a70be17bc9f0#nlm34090-1', 'ref_type': 'DailyMed'}]}";"Mirtazapine (BAN, INN, JAN, MI, USAN, USP)|";"CHEMBL654"
"CHEMBL3990000";"TIBULIZUMAB";"Antibody";"2";"None";"'-mab; -mab'";"None";"Interleukin 17A inhibitor";"";"";"CHEMBL3390822";"Interleukin-17A";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3990000': [{'ref_id': '31181988', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/31181988/', 'ref_type': 'PubMed'}]}";"Tibulizumab (INN, USAN)|";"CHEMBL3990000"
"CHEMBL3589904";"PF-04531083";"Small molecule";"2";"None";"";"COc1ccc(Cl)c(-c2ccc(NC(=O)c3ccnn3C)nc2N)c1";"Sodium channel protein type X alpha subunit blocker";"";"";"CHEMBL5451";"Sodium channel protein type 10 subunit alpha";"BLOCKER";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3589904': [{'ref_id': 'http://www.sigmaaldrich.com/catalog/product/sigma/pz0273?lang=en&region=GB', 'ref_url': 'http://www.sigmaaldrich.com/catalog/product/sigma/pz0273?lang=en&region=GB', 'ref_type': 'Other'}, {'ref_id': '25060923', 'ref_url': 'http://europepmc.org/abstract/MED/25060923', 'ref_type': 'PubMed'}]}";"Pf-04531083";"CHEMBL3589904"
