"Parent Molecule ChEMBL ID";"Parent Molecule Name";"Parent Molecule Type";"Max Phase";"First Approval";"USAN Stem";"Smiles";"Mechanism of Action";"Mechanism Comment";"Selectivity Comment";"Target ChEMBL ID";"Target Name";"Action Type";"Target Type";"Target Organism";"Binding Site Name";"Binding Site Comment";"References";"Synonyms";"Parent Molecule ChEMBL ID"
"CHEMBL393820";"VALOPICITABINE";"Small molecule";"2";"None";"'-citabine'";"CC(C)[C@H](N)C(=O)O[C@@H]1[C@@H](CO)O[C@@H](n2ccc(N)nc2=O)[C@]1(C)O";"RNA-directed RNA polymerase inhibitor";"";"";"CHEMBL4296320";"RNA-directed RNA polymerase";"INHIBITOR";"SINGLE PROTEIN";"Hepacivirus hominis";"";"";"{'CHEMBL393820': [{'ref_id': '17064080', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/17064080/', 'ref_type': 'PubMed'}]}";"Valopicitabine dihydrochloride (USAN)|Valopicitabine (INN)|";"CHEMBL393820"
"CHEMBL3301610";"ABEMACICLIB";"Small molecule";"4";"2017";"'-ciclib'";"CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1";"Cyclin-dependent kinase 6 inhibitor";"";"";"CHEMBL2508";"Cyclin-dependent kinase 6";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3301610': [{'ref_id': '24919854', 'ref_url': 'http://europepmc.org/abstract/MED/24919854', 'ref_type': 'PubMed'}]}";"Abemaciclib (INN, JAN, MI, USAN, USAN)|";"CHEMBL3301610"
"CHEMBL3646118";"MOLIDUSTAT";"Small molecule";"2";"None";"'-stat'";"O=c1c(-n2ccnn2)c[nH]n1-c1cc(N2CCOCC2)ncn1";"Egl nine homolog 1 inhibitor";"May exert its effect on renal anemia by increasing Hb via activation of the HIF pathway. Active against PHD1-3 but activity against PHD2 may be the most significant for the therapeutic effect.";"Active against PHD1-3 but activity against PHD2 may be the most significant for the therapeutic effect.";"CHEMBL5697";"Egl nine homolog 1";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3646118': [{'ref_id': '25392999', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/25392999/', 'ref_type': 'PubMed'}]}";"Molidustat sodium (USAN)|Molidustat (USAN)|";"CHEMBL3646118"
"CHEMBL3622533";"FIMEPINOSTAT";"Small molecule";"2";"None";"'-stat'";"COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(=O)NO)cn4)cc3n2)cn1";"PI3-kinase p110-beta subunit inhibitor";"Inhibits mainly class I and IIb HDACS (PMID:22693356)";"";"CHEMBL3145";"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3622533': [{'ref_id': 'http://www.curis.com/pipeline/cudc-907', 'ref_url': 'http://www.curis.com/pipeline/cudc-907', 'ref_type': 'Other'}, {'ref_id': '22693356', 'ref_url': 'http://europepmc.org/abstract/MED/22693356', 'ref_type': 'PubMed'}]}";"Fimepinostat (INN, USAN)|";"CHEMBL3622533"
"CHEMBL467084";"LANICEMINE";"Small molecule";"2";"None";"";"N[C@@H](Cc1ccccn1)c1ccccc1";"Glutamate [NMDA] receptor blocker";"Non-selective, open-channel blocker.";"";"CHEMBL2094124";"Glutamate [NMDA] receptor";"BLOCKER";"PROTEIN COMPLEX GROUP";"Homo sapiens";"";"";"{'CHEMBL467084': [{'ref_id': 'http://openinnovation.astrazeneca.com/what-we-offer/compound/lanicemine-azd6765/', 'ref_url': 'http://openinnovation.astrazeneca.com/what-we-offer/compound/lanicemine-azd6765/', 'ref_type': 'Other'}, {'ref_id': '23455590', 'ref_url': 'http://europepmc.org/abstract/MED/23455590', 'ref_type': 'PubMed'}, {'ref_id': 'Lanicemine', 'ref_url': 'http://en.wikipedia.org/wiki/Lanicemine', 'ref_type': 'Wikipedia'}]}";"Lanicemine (INN, INN)|";"CHEMBL467084"
"CHEMBL4594310";"NIPOCALIMAB";"Antibody";"3";"None";"'-mab'";"None";"IgG receptor FcRn large subunit p51 antagonist";"";"";"CHEMBL5966";"IgG receptor FcRn large subunit p51";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL4594310': [{'ref_id': '31998320', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/31998320/', 'ref_type': 'PubMed'}]}";"Nipocalimab (INN, USAN)|";"CHEMBL4594310"
"CHEMBL3622533";"FIMEPINOSTAT";"Small molecule";"2";"None";"'-stat'";"COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(=O)NO)cn4)cc3n2)cn1";"PI3-kinase p110-alpha subunit inhibitor";"Inhibits mainly class I and IIb HDACS (PMID:22693356)";"";"CHEMBL4005";"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3622533': [{'ref_id': 'http://www.curis.com/pipeline/cudc-907', 'ref_url': 'http://www.curis.com/pipeline/cudc-907', 'ref_type': 'Other'}, {'ref_id': '22693356', 'ref_url': 'http://europepmc.org/abstract/MED/22693356', 'ref_type': 'PubMed'}]}";"Fimepinostat (INN, USAN)|";"CHEMBL3622533"
"CHEMBL2151437";"AZD0328";"Small molecule";"2";"None";"";"c1cnc2c(c1)C[C@@]1(CN3CCC1CC3)O2";"Neuronal acetylcholine receptor protein alpha-7 subunit agonist";"Compound is listed in AstaZeneca's clinical and/or preclinical compound bank and available for research projects (http://openinnovation.astrazeneca.com/what-we-offer/compound/azd0328-2/).";"";"CHEMBL2492";"Neuronal acetylcholine receptor subunit alpha-7";"AGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2151437': [{'ref_id': '19615981', 'ref_url': 'http://europepmc.org/abstract/MED/19615981', 'ref_type': 'PubMed'}, {'ref_id': '21919481', 'ref_url': 'http://europepmc.org/abstract/MED/21919481', 'ref_type': 'PubMed'}]}";"Azd-0328|Azd0328";"CHEMBL2151437"
"CHEMBL4650514";"BATOCLIMAB";"Antibody";"3";"None";"'-mab'";"None";"IgG receptor FcRn large subunit p51 inhibitor";"";"";"CHEMBL5966";"IgG receptor FcRn large subunit p51";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL4650514': [{'ref_id': '32915379', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/32915379/', 'ref_type': 'PubMed'}]}";"Batoclimab (INN, USAN)|";"CHEMBL4650514"
"CHEMBL3622533";"FIMEPINOSTAT";"Small molecule";"2";"None";"'-stat'";"COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(=O)NO)cn4)cc3n2)cn1";"Histone deacetylase inhibitor";"Inhibits mainly class I and IIb HDACS (PMID:22693356)";"";"CHEMBL2093865";"Histone deacetylase";"INHIBITOR";"PROTEIN FAMILY";"Homo sapiens";"";"";"{'CHEMBL3622533': [{'ref_id': 'http://www.curis.com/pipeline/cudc-907', 'ref_url': 'http://www.curis.com/pipeline/cudc-907', 'ref_type': 'Other'}, {'ref_id': '22693356', 'ref_url': 'http://europepmc.org/abstract/MED/22693356', 'ref_type': 'PubMed'}]}";"Fimepinostat (INN, USAN)|";"CHEMBL3622533"
