"Molecule ChEMBL ID";"Parent Molecule ChEMBL ID";"Parent Molecule Name";"Warning Type";"Warning Class";"Description";"Country";"First Withdrawn Year";"EFO ID";"EFO Term";"EFO ID for Warning Class";"References"
"CHEMBL1233";"CHEMBL1233";"CARISOPRODOL";"Withdrawn";"neurotoxicity";"increased risk of abuse and addiction in Norwegian patients, as well as a risk of causing intoxication (affecting mental state) and psychomotor impairment (unusual thoughts and difficulty co-ordinating movements).";"['European Union']";"[2007]";"EFO:0020909";"impaired psychomotor skills";"EFO:0011057";"Type: EMA RefID: medicines/human/referrals/carisoprodol#:~:text=The%20Agency's%20Committee%20for%20Medicinal,should%20be%20suspended%20throughout%20Europe. URL: https://www.ema.europa.eu/en/medicines/human/referrals/carisoprodol#:~:text=The%20Agency's%20Committee%20for%20Medicinal,should%20be%20suspended%20throughout%20Europe.|Type: EMA RefID: documents/referral/questions-and-answers-recommendation-suspend-marketing-authorisations-carisoprodol-containing-medicines_en.pdf URL: https://www.ema.europa.eu/en/documents/referral/questions-and-answers-recommendation-suspend-marketing-authorisations-carisoprodol-containing-medicines_en.pdf"
"CHEMBL3989820";"CHEMBL911";"ZOLPIDEM";"Black Box Warning";"None";"None";"['United States']";"[None]";"None";"None";"None";"Type: DailyMed RefID: ab83d3d5-9ee2-4234-e053-2995a90a1966 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ab83d3d5-9ee2-4234-e053-2995a90a1966|Type: DailyMed RefID: c0543e05-3220-4a8a-abd9-6a73c42848c2 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c0543e05-3220-4a8a-abd9-6a73c42848c2"
"CHEMBL61006";"CHEMBL61006";"PHENYLPROPANOLAMINE";"Withdrawn";"vascular toxicity";"Haemorrhagic stroke. Severe high blood pressure.";"['Canada', 'Australia', 'Bhutan', 'Brazil', 'Malaysia', 'Germany', 'South Korea', 'Timor-Leste', 'Singapore', 'United States']";"[1987, 1987, 1987, 1987, 1987, 1987, 1987, 1987, 1987, 1987]";"EFO:0000537";"hypertension";"EFO:0011062";"Type: TGA RefID: alert/phenylpropanolamine URL: https://www.tga.gov.au/alert/phenylpropanolamine|Type: WHO RefID: CL12.pdf URL: https://www.un.org/esa/coordination/CL12.pdf|Type: WHO RefID: CL12.pdf URL: https://www.un.org/esa/coordination/CL12.pdf"
"CHEMBL1200595";"CHEMBL1201269";"CHLORPHENTERMINE";"Withdrawn";"respiratory toxicity";"cases of pulmonary hypertension led to its withdrawal in several countries";"['Venezuela', 'Germany']";"[1967, 1967]";"EFO:0001361";"pulmonary arterial hypertension";"EFO:0011060";"Type: WHO RefID: CL12.pdf URL: https://www.un.org/esa/coordination/CL12.pdf"
"CHEMBL1201124";"CHEMBL469";"KETOROLAC";"Black Box Warning";"None";"None";"['United States']";"[None]";"None";"None";"None";""
"CHEMBL1712842";"CHEMBL395110";"MEPAZINE";"Withdrawn";"immune system toxicity";"associated with granulocytopenia, granulocytosis, paralytic ileus, urinary retention, seizures, hypotension, and jaundice";"['United States']";"[1970]";"HP:0032310";"Granulocytosis";"EFO:0011053";"Type: USGPO RefID: FR-1998-10-08/html/98-26923.htm URL: https://www.govinfo.gov/content/pkg/FR-1998-10-08/html/98-26923.htm|Type: USGPO RefID: FR-1998-10-08/html/98-26923.htm URL: https://www.govinfo.gov/content/pkg/FR-1998-10-08/html/98-26923.htm"
"CHEMBL1909286";"CHEMBL1909286";"PHENOXYPROPAZINE";"Withdrawn";"None";"Hepatotoxicity; Drug Interaction";"['United Kingdom']";"[1966]";"EFO:0009878";"drug interaction";"None";"Type: DOI RefID: 10.1177/009286150103500134 URL: https://doi.org/10.1177/009286150103500134"
"CHEMBL1460";"CHEMBL1460";"DIDANOSINE";"Black Box Warning";"gastrointestinal toxicity";"None";"['United States']";"[None]";"None";"None";"EFO:0011050";"Type: DailyMed RefID: b3ad0449-fd60-482a-9ba7-afd8f5555b83 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b3ad0449-fd60-482a-9ba7-afd8f5555b83"
"CHEMBL137";"CHEMBL137";"METRONIDAZOLE";"Black Box Warning";"infectious disease";"None";"['United States']";"[None]";"None";"None";"EFO:0005741";""
"CHEMBL1201020";"CHEMBL517";"DISOPYRAMIDE";"Black Box Warning";"musculoskeletal toxicity";"None";"['United States']";"[None]";"None";"None";"EFO:0011055";""
